2022-02-24 02:11:08.148030+00:00 nozzle: 2 | time: 1645668668.1479611 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.148471+00:00 nozzle: 0 | time: 1645668668.1484041 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.148954+00:00 nozzle: 0 | time: 1645668668.1488953 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.149483+00:00 [INFO] onDur 0.14376654624938964 for nozzle 1 received.
2022-02-24 02:11:08.149483+00:00 [INFO] onDur 0.14376654624938964 for nozzle 1 received.
2022-02-24 02:11:08.149927+00:00 nozzle: 0 | time: 1645668668.1498594 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.150394+00:00 nozzle: 1 | time: 1645668668.150335 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.150852+00:00 nozzle: 0 | time: 1645668668.150776 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.151194+00:00 nozzle: 1 | time: 1645668668.1511524 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.151457+00:00 nozzle: 2 | time: 1645668668.1514182 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.151719+00:00 nozzle: 1 | time: 1645668668.1516762 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.152115+00:00 nozzle: 2 | time: 1645668668.1520505 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.152600+00:00 nozzle: 0 | time: 1645668668.1525269 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.153021+00:00 nozzle: 1 | time: 1645668668.152964 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.153310+00:00 nozzle: 1 | time: 1645668668.153272 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.153610+00:00 nozzle: 0 | time: 1645668668.1535752 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.153861+00:00 nozzle: 1 | time: 1645668668.1538262 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.154101+00:00 nozzle: 2 | time: 1645668668.1540663 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.154425+00:00 nozzle: 1 | time: 1645668668.1543636 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.154881+00:00 nozzle: 1 | time: 1645668668.1547806 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.155680+00:00 nozzle: 1 | time: 1645668668.1555462 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.156155+00:00 nozzle: 3 | time: 1645668668.1560426 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.156804+00:00 nozzle: 1 | time: 1645668668.156706 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.157300+00:00 nozzle: 1 | time: 1645668668.1572325 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.157716+00:00 nozzle: 1 | time: 1645668668.1576595 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.158080+00:00 nozzle: 3 | time: 1645668668.1580164 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.158490+00:00 nozzle: 1 | time: 1645668668.1584275 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.158882+00:00 nozzle: 1 | time: 1645668668.1588233 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.159244+00:00 nozzle: 1 | time: 1645668668.159193 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.159602+00:00 nozzle: 1 | time: 1645668668.1595423 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.160012+00:00 nozzle: 3 | time: 1645668668.1599333 | location 0 | delay: 0 | duration: 0.15
2022-02-24 02:11:08.160516+00:00 nozzle: 2 | time: 1645668668.1604316 | location 0 | delay: 0 | duration: 0.15
